fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
11403,2.800466953,2.800006826,2.80000674,2.800466953,46549.21875,38162.48438,42336.33203,40655.83594
11404,0,0,0,0,22047.1582,13263.99023,18348.09766,14575.72168
11405,0,0,0,0,37358.16016,24344.41797,31210.84766,26505.08203
11406,0,0,0,0,16270.20801,9892.881836,13638.17188,10803.02148
11407,0,0,0,0,12815.61426,7736.357422,10769.46289,8488.686523
11408,0,0,0,0,121157.4609,128136.9531,119293.0234,134617.25
11409,0,0,0,0,7352.510742,4376.986328,6281.013672,4877.579102
11415,0,0,0,0,7313.835449,4319.345215,6347.549805,4768.855957
11416,0,0,0,0,1680.612793,1120.408447,1676.3927,1120.408447
11417,0,0,0,0,1871.166016,1234.205322,1840.019287,1243.402588
11418,0,0,0,0,2120.036865,1319.72583,1850.925049,1333.080444
11419,0,0,0,0,2557.896973,1577.150269,2190.632324,1596.669434
11420,0,0,0,0,3605.062012,2161.608887,2939.198242,2229.529297
11421,0,0,0,0,11192.32422,6720.71875,9472.363281,7365.865234
11422,0,0,0,0,14434.87988,9179.833984,12214.4834,9876.100586
11423,0,0,0,0,14813.17676,9074.773438,12506.02148,9876.836914
11424,0,0,0,0,8752.982422,5306.78125,7460.380859,5846.079102
11425,0,0,0,0,9299.344727,5587.619629,7894.244629,6213.610352
11426,0,0,0,0,6566.131836,3870.526855,5468.498535,4303.762695
11428,0,0,0,0,2558.535156,1625.727051,2126.539063,1644.365967
11430,0,0,0,0,2417.812744,1554.176758,2251.365967,1639.00293
11431,0,0,0,0,2798.684082,1789.459595,2578.611816,1870.521484
11432,0.114598237,0.114605923,0.114605923,0.114605923,88945.49219,80852.60156,83556.46094,85334.64063
11433,0,0,0,0,11165.0957,6729.098633,9905.875977,7122.789551
11436,0,0,0,0,5860.552734,3853.955566,5192.97998,3885.765137
11437,0,0,0,0,6183.724609,4072.303711,5451.725586,4113.591309
11438,0,0,0,0,7808.992188,5015.081055,6709.829102,5265.619141
11439,0,0,0,0,6044.854492,3865.607422,5270.308594,4047.186035
11440,0,0,0,0,4711.118164,3053.616211,4132.578125,3138.802979
11441,0,0,0,0,3749.287109,2486.574707,3210.424072,2509.719238
11582,954.0549537,954.5911676,954.5911676,954.5914761,0,0,0,0
11583,253.3061484,253.3061484,253.3061484,253.3061484,0,0,0,0
11584,0,0,0,0,169.9148865,169.9148865,169.9148865,337.9788818
11692,0,0,0,0,8901.939453,7107.15625,8084.206543,8421.799805
11695,169.6021429,170.0665138,170.4946996,173.4168745,117264.0156,152433.5,123726.7656,173604.5625
11696,19912.98178,19410.35109,19993.55663,19428.56934,0,0,0,0
11697,452383.0509,450051.6449,453205.8877,449440.7413,0,0,0,0
11698,68661.20351,69109.69483,70311.82349,69896.52281,0,0,0,0
11708,116.9071002,115.5170122,116.1100591,115.1581298,0,0,0,0
11709,11806.68842,10996.40344,11260.55317,11087.81269,0,0,0,0
11710,9916.367861,9101.791671,9823.60596,9658.701619,0,0,0,0
11711,0.336956553,0.130141236,0.452112537,0.377302951,90324.8125,124827.6719,99603.92188,144988.9219
11712,14325.56812,12356.39889,16785.65937,14353.00242,338443.2188,473716.2188,373018.4375,556140
11713,4.929147347,4.846077422,5.152239409,6.453795643,117020.1797,156210.9688,119416.4375,187143.5625
11714,141.9461988,506.6613579,680.0022531,1318.502818,0,0,0,0
11715,816.5210538,1016.405952,1027.694579,1559.732646,0,0,0,0
11716,0.857273022,1.228469048,1.520998932,2.846595558,149186.2344,204557.4688,159099.2813,242166.25
11717,0.037010802,0.010382314,0.063341204,0.131284073,0,0,0,0
11718,27879.56928,12323.08178,30942.25693,30108.02676,0,0,0,0
11721,2030.772892,2090.291788,2090.291788,2504.204747,0,0,0,0
11722,2315.28519,2556.992514,2550.936648,3760.117997,0,0,0,0
11723,2.472844857,2.472844857,2.472844857,5.65593039,254364.0625,217636.7188,213958.7813,220187
11724,63.73806328,64.72608141,64.72608141,99.21972992,889789.5,823760.75,755921.5625,833403.625
11725,936.849073,1004.60719,1004.60719,1565.480498,0,0,0,0
11726,499.6893566,822.9344105,810.605171,1243.775701,0,0,0,0
11727,24242.36705,25291.16891,25280.86723,26036.34008,0,0,0,0
11728,27984.45455,27984.45455,27984.45455,27984.45455,0,0,0,0
11729,1878.212965,1878.20416,1878.20416,1878.20416,40425.06641,0,0,0
11730,6253.123895,6253.123895,6253.123895,6253.123895,0,0,0,0
11731,15291.85591,15291.85591,15291.85591,15291.85591,0,0,0,0
11732,1122.5915,1122.5915,1122.5915,1122.5915,0,0,0,0
11733,0.035186457,0.035186457,0.035186457,0.035186457,45077.71094,26455.67578,37869.46875,29045.67773
11734,1.957632618,1.957705174,1.957705174,1.958436106,144778.3438,133982.6094,136570.9844,141338.4688
11735,1.379188841,1.379188841,1.379188841,1.379188841,475795.375,487161.5938,463404.8125,511657
11736,273.2604619,273.2604619,273.2604619,273.2604619,0,0,0,0
11737,3980.854638,2255.590253,1978.053312,3910.453096,250231.4375,0,0,0
11738,10252.66702,7410.485791,6894.709813,10180.94529,204571.9688,150182.1563,180593.8906,161073.25
11739,63702.47925,55235.97803,53403.85375,63621.41806,0,0,0,458159.4063
11740,67815.53128,57691.87118,54950.03572,67582.06784,0,0,0,0
11741,19381.39181,13292.13517,12984.21155,19003.70518,481486.4375,448122.1875,454621.375,473481
11742,7186.194248,4559.431979,4500.579687,7065.338353,194432.6875,0,0,0
11743,5380.647355,3276.832555,2916.628866,5245.517642,0,0,0,0
11744,75.06330381,73.24187931,73.19049618,75.06330381,71405.45313,44131.62109,60401.19922,47927.60156
11745,12773.29917,11639.5164,11633.67407,12713.54807,0,0,0,0
11746,74068.69939,57175.68221,55067.50156,73263.68148,0,0,0,0
11747,1928.212236,1551.178821,1494.362419,1919.265944,0,0,0,0
11748,13990.61576,12168.78431,11852.13563,13927.07988,0,0,0,0
11749,15873.36372,13912.79453,13596.81826,15851.30206,0,0,0,0
11750,311.3043172,294.421031,292.8618999,309.8469629,0,0,0,0
11751,20.6911262,13.47259774,13.29349879,20.69073219,46723.9375,0,39280.51953,0
11752,56.77735214,45.66360984,44.43585898,56.61412581,101277.6406,62896.96094,85662.38281,68206.5
11753,2729.305568,2168.055596,2089.529532,2703.395697,845898.625,840128.3125,816092.875,882311.9375
11754,6481.674198,5761.150492,5673.958105,6399.787172,147617.875,116099.9219,132804.0781,123643.7891
