UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0,0.0,0.0,14434.87988,9179.833984,12214.4834,9876.100586,58.5,82.5
0.0,0.0,0.0,0.0,14813.17676,9074.773438,12506.02148,9876.836914,58.5,83.5
0.0,0.0,0.0,0.0,8752.982422,5306.78125,7460.380859000001,5846.079102000001,58.5,84.5
0.0,0.0,0.0,0.0,9299.344727,5587.619629,7894.244629000001,6213.610352000001,58.5,85.5
0.0,0.0,0.0,0.0,6566.131836,3870.5268549999996,5468.498535,4303.762695,58.5,86.5
0.0,0.0,0.0,0.0,2558.535156,1625.727051,2126.5390629999997,1644.365967,58.5,88.5
0.0,0.0,0.0,0.0,2417.8127440000003,1554.176758,2251.365967,1639.00293,58.5,90.5
0.0,0.0,0.0,0.0,2798.684082,1789.459595,2578.611816,1870.5214839999999,58.5,91.5
0.11459823699999999,0.11460592300000001,0.11460592300000001,0.11460592300000001,88945.49219,80852.60156,83556.46094,85334.64063,58.5,92.5
0.0,0.0,0.0,0.0,11165.0957,6729.098633,9905.875977,7122.789551000001,58.5,93.5
0.0,0.0,0.0,0.0,5860.552734000001,3853.9555659999996,5192.97998,3885.765137,58.5,96.5
0.0,0.0,0.0,0.0,6183.724609000001,4072.303711,5451.725586,4113.591309,58.5,97.5
0.0,0.0,0.0,0.0,7808.992187999999,5015.081055,6709.829102000001,5265.619140999999,58.5,98.5
0.0,0.0,0.0,0.0,6044.854492,3865.607422,5270.308594,4047.186035,58.5,99.5
0.0,0.0,0.0,0.0,4711.118164,3053.616211,4132.578125,3138.802979,58.5,100.5
0.0,0.0,0.0,0.0,3749.2871090000003,2486.574707,3210.424072,2509.7192379999997,58.5,101.5
0.0,0.0,0.0,0.0,169.9148865,169.9148865,169.9148865,337.9788818,57.5,-115.5
0.0,0.0,0.0,0.0,8901.939453,7107.15625,8084.206543000001,8421.799805,57.5,-7.5
169.6021429,170.0665138,170.49469960000002,173.4168745,117264.0156,152433.5,123726.7656,173604.5625,57.5,-4.5
0.336956553,0.130141236,0.45211253700000004,0.377302951,90324.8125,124827.6719,99603.92188,144988.9219,57.5,11.5
14325.568119999998,12356.39889,16785.659369999998,14353.002419999999,338443.2188,473716.2188,373018.4375,556140.0,57.5,12.5
4.929147347,4.846077422,5.152239409,6.453795642999999,117020.1797,156210.9688,119416.4375,187143.5625,57.5,13.5
